,TRBC Economic Sector Name
POOL.OQ,Consumer Cyclicals
CHRW.OQ,Industrials
AJG.N,Financials
CNP.N,Utilities
AMCR.N,Basic Materials
WM.N,Industrials
PRGO.N,Healthcare
BA.N,Industrials
FOX.OQ,Consumer Cyclicals
LIN.N,Basic Materials
WY.N,Real Estate
MCD.N,Consumer Cyclicals
HD.N,Consumer Cyclicals
SPG.N,Real Estate
HBAN.OQ,Financials
QRVO.OQ,Technology
LVS.N,Consumer Cyclicals
COG.N,Energy
AIG.N,Financials
AIZ.N,Financials
CARR.N,Industrials
COST.OQ,Consumer Cyclicals
MCO.N,Industrials
DIS.N,Consumer Cyclicals
PAYX.OQ,Industrials
AMD.OQ,Technology
REG.OQ,Real Estate
DHI.N,Consumer Cyclicals
TRV.N,Financials
BIO.N,Healthcare
MOS.N,Basic Materials
BWA.N,Consumer Cyclicals
WDC.OQ,Technology
VTR.N,Real Estate
IVZ.N,Financials
ZBRA.OQ,Technology
AMAT.OQ,Technology
STX.OQ,Technology
SYK.N,Healthcare
VRSN.OQ,Technology
NVR.N,Consumer Cyclicals
LB.N,Consumer Cyclicals
LOW.N,Consumer Cyclicals
BSX.N,Healthcare
SYY.N,Consumer Non-Cyclicals
FCX.N,Basic Materials
MAS.N,Consumer Cyclicals
BEN.N,Financials
FB.OQ,Technology
EVRG.N,Utilities
EXPD.OQ,Industrials
PAYC.N,Technology
EXPE.OQ,Consumer Cyclicals
RJF.N,Financials
CL.N,Consumer Non-Cyclicals
CE.N,Basic Materials
UNH.N,Healthcare
ARE.N,Real Estate
UAA.N,Consumer Cyclicals
NLOK.OQ,Technology
LLY.N,Healthcare
NWL.OQ,Consumer Cyclicals
ISRG.OQ,Healthcare
AVB.N,Real Estate
PVH.N,Consumer Cyclicals
TPR.N,Consumer Cyclicals
CBRE.N,Real Estate
CINF.OQ,Financials
SEE.N,Basic Materials
WMB.N,Energy
EA.OQ,Technology
TMUS.OQ,Technology
CB.N,Financials
TXN.OQ,Technology
MDLZ.OQ,Consumer Non-Cyclicals
BLL.N,Basic Materials
PFG.OQ,Financials
KEYS.N,Industrials
RL.N,Consumer Cyclicals
JPM.N,Financials
INFO.N,Industrials
TTWO.OQ,Consumer Cyclicals
CDW.OQ,Technology
RMD.N,Healthcare
LNT.OQ,Utilities
NOV.N,Energy
CMG.N,Consumer Cyclicals
PCAR.OQ,Industrials
GNRC.N,Industrials
CHTR.OQ,Technology
PWR.N,Industrials
CCL.N,Consumer Cyclicals
PM.N,Consumer Non-Cyclicals
COO.N,Healthcare
SNA.N,Industrials
UAL.OQ,Industrials
ESS.N,Real Estate
KHC.OQ,Consumer Non-Cyclicals
JBHT.OQ,Industrials
CMI.N,Consumer Cyclicals
PNR.N,Industrials
CRL.N,Healthcare
DPZ.N,Consumer Cyclicals
HPQ.N,Technology
LW.N,Consumer Non-Cyclicals
TGT.N,Consumer Cyclicals
NTAP.OQ,Technology
OXY.N,Energy
IR.N,Industrials
TER.OQ,Technology
WAB.N,Industrials
FBHS.N,Consumer Cyclicals
NOW.N,Technology
EXC.OQ,Utilities
BR.N,Technology
EMN.N,Basic Materials
AZO.N,Consumer Cyclicals
TEL.N,Industrials
FRT.N,Real Estate
DUK.N,Utilities
KMI.N,Energy
DVN.N,Energy
MXIM.OQ,Technology
RCL.N,Consumer Cyclicals
VTRS.OQ,Healthcare
CAH.N,Consumer Non-Cyclicals
AAL.OQ,Industrials
MKC.N,Consumer Non-Cyclicals
IEX.N,Industrials
VLO.N,Energy
LH.N,Healthcare
DRI.N,Consumer Cyclicals
MAA.N,Real Estate
JNJ.N,Healthcare
ABC.N,Healthcare
SHW.N,Basic Materials
GD.N,Industrials
SBAC.OQ,Real Estate
MPWR.OQ,Technology
COP.N,Energy
ORCL.N,Technology
AMP.N,Financials
GRMN.OQ,Technology
NXPI.OQ,Technology
CPRT.OQ,Consumer Cyclicals
TXT.N,Industrials
T.N,Technology
NDAQ.OQ,Financials
FFIV.OQ,Technology
LEN.N,Consumer Cyclicals
CDNS.OQ,Technology
NVDA.OQ,Technology
WELL.N,Real Estate
PLD.N,Real Estate
ROST.OQ,Consumer Cyclicals
MRK.N,Healthcare
WEC.N,Utilities
MSCI.N,Industrials
TMO.N,Healthcare
F.N,Consumer Cyclicals
LYB.N,Basic Materials
IBM.N,Technology
IQV.N,Healthcare
VRTX.OQ,Healthcare
DXCM.OQ,Healthcare
CERN.OQ,Healthcare
PEP.OQ,Consumer Non-Cyclicals
AOS.N,Industrials
BLK.N,Financials
ABMD.OQ,Healthcare
HII.N,Industrials
CVS.N,Healthcare
PH.N,Industrials
NSC.N,Industrials
MSFT.OQ,Technology
HWM.N,Industrials
BAX.N,Healthcare
HUM.N,Healthcare
ZBH.N,Healthcare
TDY.N,Technology
GILD.OQ,Healthcare
CMA.N,Financials
NOC.N,Industrials
PNW.N,Utilities
BFb.N,Consumer Non-Cyclicals
DE.N,Industrials
HSY.N,Consumer Non-Cyclicals
GL.N,Financials
SLB.N,Energy
AWK.N,Utilities
PKG.N,Basic Materials
FLT.N,Industrials
ADI.OQ,Technology
MMC.N,Financials
IT.N,Technology
ECL.N,Basic Materials
BXP.N,Real Estate
GE.N,Consumer Non-Cyclicals
